ID,samplegroup,qzip,q1,q2a_1,q2a_2,q2a_3,q2a_4,q2a_5,q2a_6,q2a_7,q2ba_1,q2ba_2,q2ba_3,q2ba_4,q2bb_1,q2bb_2,q2bb_3,q2bb_4,q2bc_1,q2bc_2,q2bc_3,q2bc_4,q2bd_1,q2bd_2,q2bd_3,q2bd_4,q2be_1,q2be_2,q2be_3,q2be_4,q2bf_1,q2bf_2,q2bf_3,q2bf_4,q4_1,q4_2,q4_3,q4_4,q4_5,q4_6,q4_7,q4_8,q4_9,q7,q12a_1,q12a_2,q12a_3,q12b_4,q12b_5,q16a_1,q16a_2,q16a_3,q16a_4,q16a_5,q16a_6,q16a_7,q16a_8,q16b_9,q16b_10,q16b_11,q16b_12,q16b_13,q16b_14,q16b_15,q16c_16,q16c_17,q16c_18,q16c_19,q16c_20,q16c_21,q16c_22,q20,q29,POV,POV135,POV400,ethnicity,q6R,q20R,Age_range2,Age_range3,Age2_range2,Age2_range3,INCOME
2858,1,98125,1,1,2,3,4,0,0,,1,,,,1,,,,1,,,,1,,,,0,,,,0,,,,1,,,,,,,,,2,2,1,1,1,1,3,4,5,1,2,2,5,1,1,5,4,4,5,4,3,3,2,5,5,4,5,5,2,5,0,0,1,1,5,4,5,4,5,4,2
2859,4,98101,1,2,3,4,0,0,0,,0,,,,1,,,,1,,,,1,,,,0,,,,0,,,,3,,,,,,,,,3,1,1,1,1,1,2,3,4,1,1,1,1,1,1,1,3,1,3,2,1,2,2,1,1,1,1,4,1,10,0,0,1,1,4,5,3,3,4,4,3
2860,1,98144,1,0,2,3,0,0,0,,0,,,,1,,,,1,,,,0,,,,0,,,,0,,,,6,4,,,,,,,,99,2,2,2,2,2,1,4,3,1,1,1,1,1,1,1,1,5,0,1,2,5,5,1,1,1,1,5,1,3,0,0,1,2,4,5,5,4,,,1
2861,4,98199,1,2,3,4,6,0,0,,0,,,,1,,,,1,,,,1,,,,0,,,,1,,,,3,,,,,,,,,99,1,1,1,1,1,2,2,2,1,2,2,5,1,2,1,2,5,2,5,2,4,1,5,3,4,4,5,1,13,0,0,0,1,4,5,3,3,3,3,6
2862,3,98112,1,0,2,3,0,0,0,,7,,,,0,,,,1,,,,0,,,,0,,,,0,,,,3,,,,,,,,,98,3,0,0,0,0,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,2,9,5,,,,,1
2863,4,98115,1,1,2,3,4,5,6,,1,,,,1,2,,,1,2,,,1,2,,,1,,,,1,,,,3,4,,,,,,,,3,2,1,1,1,1,3,5,2,1,1,2,2,1,1,1,1,4,3,3,2,1,2,1,1,4,2,2,2,11,0,0,0,1,4,4,2,3,4,3,4
2864,1,98103,1,2,3,0,0,0,0,,0,,,,1,,,,1,,,,0,,,,0,,,,0,,,,3,,,,,,,,,99,1,1,1,1,1,4,4,1,1,3,5,2,4,2,1,4,3,2,4,2,4,2,5,4,4,3,4,1,15,0,0,0,1,4,5,4,4,,,0
2865,2,98104,1,1,2,3,0,0,0,,1,,,,2,,,,1,,,,0,,,,0,,,,0,,,,1,4,,,,,,,,2,1,1,1,1,1,3,5,5,1,3,2,4,1,1,1,4,4,5,4,2,2,2,5,2,5,2,5,1,8,0,0,1,1,3,5,1,2,,,2
2866,1,98105,1,1,2,3,4,5,0,,1,,,,1,3,,,1,,,,1,,,,1,,,,7,,,,3,4,,,,,,,,3,2,1,1,2,2,2,4,1,1,1,1,2,1,1,1,2,4,3,3,1,1,2,5,1,4,2,2,1,14,0,0,0,1,3,5,1,2,1,2,7
2867,1,98115,1,0,2,3,4,0,0,,7,,,,1,,,,1,,,,1,,,,7,,,,7,,,,1,4,,,,,,,,2,2,1,1,2,2,4,5,5,1,2,3,5,3,3,1,4,4,2,2,4,4,2,5,2,4,4,4,2,15,0,0,0,1,4,4,5,4,4,3,0
